Instance File:
  instances/cmb01

Time:
  3125.6076307296753

Parameters:
  Cooling Factor r: 0.8
  Instances I: 100
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  Vertex 156 color = 0
  Vertex 157 color = 0
  Vertex 158 color = 9
  Vertex 159 color = 3
  Vertex 160 color = 5
  Vertex 161 color = 11
  Vertex 162 color = 2
  Vertex 163 color = 6
  Vertex 164 color = 9
  Vertex 165 color = 11
  Vertex 166 color = 6
  Vertex 167 color = 5
  Vertex 168 color = 1
  Vertex 169 color = 9
  Vertex 170 color = 7
  Vertex 171 color = 5
  Vertex 172 color = 5
  Vertex 173 color = 2
  Vertex 174 color = 6
  Vertex 175 color = 0
  Vertex 176 color = 11
  Vertex 177 color = 8
  Vertex 178 color = 7
  Vertex 179 color = 3
  Vertex 180 color = 1
  Vertex 181 color = 2
  Vertex 182 color = 7
  Vertex 183 color = 2
  Vertex 184 color = 7
  Vertex 185 color = 4
  Vertex 186 color = 8
  Vertex 187 color = 10
  Vertex 188 color = 2
  Vertex 189 color = 0
  Vertex 190 color = 1
  Vertex 191 color = 7
  Vertex 192 color = 6
  Vertex 193 color = 0
  Vertex 194 color = 6
  Vertex 195 color = 7
  Vertex 196 color = 6
  Vertex 197 color = 0
  Vertex 198 color = 3
  Vertex 199 color = 5
  Vertex 200 color = 3
  Vertex 201 color = 1
  Vertex 202 color = 11
  Vertex 203 color = 9
  Vertex 204 color = 6
  Vertex 205 color = 7
  Vertex 206 color = 7
  Vertex 207 color = 4
  Vertex 208 color = 0
  Vertex 209 color = 3
  Vertex 210 color = 4
  Vertex 211 color = 11
  Vertex 212 color = 3
  Vertex 213 color = 5
  Vertex 214 color = 7
  Vertex 215 color = 1
  Vertex 216 color = 11
  Vertex 217 color = 11
  Vertex 218 color = 11
  Vertex 219 color = 0
  Vertex 220 color = 1
  Vertex 221 color = 2
  Vertex 222 color = 4
  Vertex 223 color = 0
  Vertex 224 color = 8
  Vertex 225 color = 8
  Vertex 226 color = 2
  Vertex 227 color = 3
  Vertex 228 color = 11
  Vertex 229 color = 2
  Vertex 230 color = 9
  Vertex 231 color = 6
  Vertex 232 color = 5
  Vertex 233 color = 9
  Vertex 234 color = 11
  Vertex 235 color = 8
  Vertex 236 color = 2
  Vertex 237 color = 10
  Vertex 238 color = 4
  Vertex 239 color = 8
  Vertex 240 color = 3
  Vertex 241 color = 6
  Vertex 242 color = 3
  Vertex 243 color = 4
  Vertex 244 color = 4
  Vertex 245 color = 4
  Vertex 246 color = 4
  Vertex 247 color = 0
  Vertex 248 color = 3
  Vertex 249 color = 5
  Vertex 250 color = 8
  Vertex 251 color = 6
  Vertex 252 color = 0
  Vertex 253 color = 8
  Vertex 254 color = 2
  Vertex 255 color = 2
  Vertex 256 color = 3
  Vertex 257 color = 11
  Vertex 258 color = 3
  Vertex 259 color = 0
  Vertex 260 color = 5
  Vertex 261 color = 2
  Vertex 262 color = 7
  Vertex 263 color = 10
  Vertex 264 color = 5
  Vertex 265 color = 5
  Vertex 266 color = 9
  Vertex 267 color = 0
  Vertex 268 color = 5
  Vertex 269 color = 7
  Vertex 270 color = 5
  Vertex 271 color = 2
  Vertex 272 color = 8
  Vertex 273 color = 5
  Vertex 274 color = 11
  Vertex 275 color = 2
  Vertex 276 color = 6
  Vertex 277 color = 0
  Vertex 278 color = 3
  Vertex 279 color = 1
  Vertex 280 color = 9
  Vertex 281 color = 3
  Vertex 282 color = 2
  Vertex 283 color = 6
  Vertex 284 color = 11
  Vertex 285 color = 1
  Vertex 286 color = 6
  Vertex 287 color = 2
  Vertex 288 color = 2
  Vertex 289 color = 8
  Vertex 290 color = 2
  Vertex 291 color = 9
  Vertex 292 color = 8
  Vertex 293 color = 6
  Vertex 294 color = 6
  Vertex 295 color = 11
  Vertex 296 color = 8
  Vertex 297 color = 8
  Vertex 298 color = 8
  Vertex 299 color = 5
  Vertex 300 color = 3
  Vertex 301 color = 4
  Vertex 302 color = 10
  Vertex 303 color = 6
  Vertex 304 color = 6
  Vertex 305 color = 8
  Vertex 306 color = 8
  Vertex 307 color = 9
  Vertex 308 color = 9
  Vertex 309 color = 3
  Vertex 310 color = 7
  Vertex 311 color = 3
  Vertex 312 color = 3
  Vertex 313 color = 9
  Vertex 314 color = 0
  Vertex 315 color = 0
  Vertex 316 color = 7
  Vertex 317 color = 10
  Vertex 318 color = 10
  Vertex 319 color = 11
  Vertex 320 color = 1
  Vertex 321 color = 5
  Vertex 322 color = 5
  Vertex 323 color = 1
  Vertex 324 color = 1
  Vertex 325 color = 5
  Vertex 326 color = 3
  Vertex 327 color = 5
  Vertex 328 color = 10
  Vertex 329 color = 4
  Vertex 330 color = 11
  Vertex 331 color = 5
  Vertex 332 color = 9
  Vertex 333 color = 1
  Vertex 334 color = 6
  Vertex 335 color = 6
  Vertex 336 color = 7
  Vertex 337 color = 5
  Vertex 338 color = 11
  Vertex 339 color = 11
  Vertex 340 color = 7
  Vertex 341 color = 7
  Vertex 342 color = 1
  Vertex 343 color = 9
  Vertex 344 color = 0
  Vertex 345 color = 7
  Vertex 346 color = 9
  Vertex 347 color = 11
  Vertex 348 color = 8
  Vertex 349 color = 11
  Vertex 350 color = 1
  Vertex 351 color = 10
  Vertex 352 color = 8
  Vertex 353 color = 10
  Vertex 354 color = 7
  Vertex 355 color = 9
  Vertex 356 color = 9
  Vertex 357 color = 8
  Vertex 358 color = 10
  Vertex 359 color = 11
  Vertex 360 color = 4
  Vertex 361 color = 10
  Vertex 362 color = 9
  Vertex 363 color = 3
  Vertex 364 color = 4
  Vertex 365 color = 3
  Vertex 366 color = 8
  Vertex 367 color = 7
  Vertex 368 color = 4
  Vertex 369 color = 8
  Vertex 370 color = 0
  Vertex 371 color = 0
  Vertex 372 color = 2
  Vertex 373 color = 1
  Vertex 374 color = 9
  Vertex 375 color = 5
  Vertex 376 color = 5
  Vertex 377 color = 5
  Vertex 378 color = 4
  Vertex 379 color = 4
  Vertex 380 color = 10
  Vertex 381 color = 10
  Vertex 382 color = 7
  Vertex 383 color = 3
  Vertex 384 color = 2
  Vertex 385 color = 11
  Vertex 386 color = 4
  Vertex 387 color = 9
  Vertex 388 color = 11
  Vertex 389 color = 6
  Vertex 390 color = 11
  Vertex 391 color = 7
  Vertex 392 color = 1
  Vertex 393 color = 8
  Vertex 394 color = 11
  Vertex 395 color = 6
  Vertex 396 color = 9
  Vertex 397 color = 2
  Vertex 398 color = 8
  Vertex 399 color = 11
  Vertex 400 color = 4
  Vertex 401 color = 3
  Vertex 402 color = 3
  Vertex 403 color = 9
  Vertex 404 color = 2
  Vertex 405 color = 0
  Vertex 406 color = 6
  Vertex 407 color = 10
  Vertex 408 color = 1
  Vertex 409 color = 6
  Vertex 410 color = 7
  Vertex 411 color = 9
  Vertex 412 color = 11
  Vertex 413 color = 1
  Vertex 414 color = 1
  Vertex 415 color = 0
  Vertex 416 color = 5
  Vertex 417 color = 0
  Vertex 418 color = 1
  Vertex 419 color = 7
  Vertex 420 color = 7
  Vertex 421 color = 4
  Vertex 422 color = 3
  Vertex 423 color = 2
  Vertex 424 color = 4
  Vertex 425 color = 6
  Vertex 426 color = 6
  Vertex 427 color = 10
  Vertex 428 color = 5
  Vertex 429 color = 3
  Vertex 430 color = 2
  Vertex 431 color = 7
  Vertex 432 color = 1
  Vertex 433 color = 0
  Vertex 434 color = 2
  Vertex 435 color = 7
  Vertex 436 color = 1
  Vertex 437 color = 7
  Vertex 438 color = 0
  Vertex 439 color = 8
  Vertex 440 color = 10
  Vertex 441 color = 10
  Vertex 442 color = 3
  Vertex 443 color = 9
  Vertex 444 color = 5
  Vertex 445 color = 11
  Vertex 446 color = 4
  Vertex 447 color = 8
  Vertex 448 color = 6
  Vertex 449 color = 4
  Vertex 450 color = 6
  Vertex 451 color = 5
  Vertex 452 color = 10
  Vertex 453 color = 4
  Vertex 454 color = 6
  Vertex 455 color = 7
  Vertex 456 color = 10
  Vertex 457 color = 4
  Vertex 458 color = 1
  Vertex 459 color = 1
  Vertex 460 color = 10
  Vertex 461 color = 5
  Vertex 462 color = 11
  Vertex 463 color = 1
  Vertex 464 color = 6
  Vertex 465 color = 3
  Vertex 466 color = 10
  Vertex 467 color = 2
  Vertex 468 color = 7
  Vertex 469 color = 1
  Vertex 470 color = 9
  Vertex 471 color = 4
  Vertex 472 color = 4
  Vertex 473 color = 4
  Vertex 474 color = 1
  Vertex 475 color = 9
  Vertex 476 color = 8
  Vertex 477 color = 6
  Vertex 478 color = 0
  Vertex 479 color = 6
  Vertex 480 color = 7
  Vertex 481 color = 9
  Vertex 482 color = 5
  Vertex 483 color = 1
  Vertex 484 color = 9
  Vertex 485 color = 11
  Vertex 486 color = 4
  Vertex 487 color = 2
  Vertex 488 color = 1
  Vertex 489 color = 0
  Vertex 490 color = 0
  Vertex 491 color = 4
  Vertex 492 color = 10
  Vertex 493 color = 11
  Vertex 494 color = 3
  Vertex 495 color = 1
  Vertex 496 color = 2
  Vertex 497 color = 11
  Vertex 498 color = 4
  Vertex 499 color = 2
