Instance File:
  instances/cmb01

Time:
  5198.370677471161

Parameters:
  Cooling Factor r: 0.6
  Instances I: 200
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  283

Final Solution Value:
  171721.15000000002

Final number of color conflicts:
  7

Solution:
  Vertex 342 color = 9
  Vertex 343 color = 1
  Vertex 344 color = 6
  Vertex 345 color = 0
  Vertex 346 color = 1
  Vertex 347 color = 4
  Vertex 348 color = 11
  Vertex 349 color = 6
  Vertex 350 color = 10
  Vertex 351 color = 10
  Vertex 352 color = 11
  Vertex 353 color = 1
  Vertex 354 color = 3
  Vertex 355 color = 10
  Vertex 356 color = 7
  Vertex 357 color = 11
  Vertex 358 color = 4
  Vertex 359 color = 2
  Vertex 360 color = 4
  Vertex 361 color = 9
  Vertex 362 color = 9
  Vertex 363 color = 4
  Vertex 364 color = 0
  Vertex 365 color = 10
  Vertex 366 color = 0
  Vertex 367 color = 10
  Vertex 368 color = 0
  Vertex 369 color = 4
  Vertex 370 color = 0
  Vertex 371 color = 7
  Vertex 372 color = 3
  Vertex 373 color = 10
  Vertex 374 color = 6
  Vertex 375 color = 2
  Vertex 376 color = 11
  Vertex 377 color = 1
  Vertex 378 color = 8
  Vertex 379 color = 1
  Vertex 380 color = 2
  Vertex 381 color = 7
  Vertex 382 color = 8
  Vertex 383 color = 1
  Vertex 384 color = 10
  Vertex 385 color = 11
  Vertex 386 color = 5
  Vertex 387 color = 8
  Vertex 388 color = 9
  Vertex 389 color = 9
  Vertex 390 color = 1
  Vertex 391 color = 7
  Vertex 392 color = 11
  Vertex 393 color = 4
  Vertex 394 color = 8
  Vertex 395 color = 10
  Vertex 396 color = 11
  Vertex 397 color = 8
  Vertex 398 color = 4
  Vertex 399 color = 3
  Vertex 400 color = 3
  Vertex 401 color = 8
  Vertex 402 color = 2
  Vertex 403 color = 3
  Vertex 404 color = 0
  Vertex 405 color = 9
  Vertex 406 color = 4
  Vertex 407 color = 0
  Vertex 408 color = 11
  Vertex 409 color = 6
  Vertex 410 color = 6
  Vertex 411 color = 4
  Vertex 412 color = 11
  Vertex 413 color = 6
  Vertex 414 color = 7
  Vertex 415 color = 4
  Vertex 416 color = 9
  Vertex 417 color = 7
  Vertex 418 color = 7
  Vertex 419 color = 5
  Vertex 420 color = 7
