Instance File:
  instances/cmb01

Time:
  3568.405797958374

Parameters:
  Cooling Factor r: 0.85
  Instances I: 50
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  283

Final Solution Value:
  192282.91999999998

Final number of color conflicts:
  9

Solution:
  Vertex 376 color = 5
  Vertex 377 color = 6
  Vertex 378 color = 4
  Vertex 379 color = 1
  Vertex 380 color = 4
  Vertex 381 color = 7
  Vertex 382 color = 0
  Vertex 383 color = 9
  Vertex 384 color = 0
  Vertex 385 color = 1
  Vertex 386 color = 2
  Vertex 387 color = 0
  Vertex 388 color = 4
  Vertex 389 color = 1
  Vertex 390 color = 10
  Vertex 391 color = 4
  Vertex 392 color = 2
  Vertex 393 color = 3
  Vertex 394 color = 4
  Vertex 395 color = 10
  Vertex 396 color = 5
  Vertex 397 color = 5
  Vertex 398 color = 0
  Vertex 399 color = 6
  Vertex 400 color = 7
  Vertex 401 color = 0
  Vertex 402 color = 9
  Vertex 403 color = 9
  Vertex 404 color = 6
  Vertex 405 color = 8
  Vertex 406 color = 0
  Vertex 407 color = 1
  Vertex 408 color = 11
  Vertex 409 color = 2
  Vertex 410 color = 4
  Vertex 411 color = 5
  Vertex 412 color = 10
  Vertex 413 color = 3
  Vertex 414 color = 7
  Vertex 415 color = 1
  Vertex 416 color = 9
  Vertex 417 color = 11
  Vertex 418 color = 3
  Vertex 419 color = 8
  Vertex 420 color = 7
  Vertex 421 color = 7
  Vertex 422 color = 4
  Vertex 423 color = 8
  Vertex 424 color = 9
  Vertex 425 color = 1
  Vertex 426 color = 9
  Vertex 427 color = 3
  Vertex 428 color = 3
  Vertex 429 color = 5
  Vertex 430 color = 2
  Vertex 431 color = 9
  Vertex 432 color = 11
  Vertex 433 color = 9
  Vertex 434 color = 0
  Vertex 435 color = 0
  Vertex 436 color = 0
  Vertex 437 color = 5
  Vertex 438 color = 10
  Vertex 439 color = 9
  Vertex 440 color = 2
  Vertex 441 color = 6
  Vertex 442 color = 5
  Vertex 443 color = 3
  Vertex 444 color = 4
  Vertex 445 color = 5
  Vertex 446 color = 11
  Vertex 447 color = 5
  Vertex 448 color = 1
  Vertex 449 color = 3
  Vertex 450 color = 9
  Vertex 451 color = 2
  Vertex 452 color = 11
  Vertex 453 color = 1
  Vertex 454 color = 2
  Vertex 455 color = 4
  Vertex 456 color = 7
  Vertex 457 color = 1
  Vertex 458 color = 7
  Vertex 459 color = 1
  Vertex 460 color = 0
  Vertex 461 color = 11
  Vertex 462 color = 7
  Vertex 463 color = 6
  Vertex 464 color = 5
  Vertex 465 color = 6
  Vertex 466 color = 0
  Vertex 467 color = 2
  Vertex 468 color = 1
  Vertex 469 color = 8
  Vertex 470 color = 9
  Vertex 471 color = 0
  Vertex 472 color = 4
  Vertex 473 color = 10
  Vertex 474 color = 8
  Vertex 475 color = 9
  Vertex 476 color = 5
  Vertex 477 color = 6
  Vertex 478 color = 7
  Vertex 479 color = 9
  Vertex 480 color = 8
  Vertex 481 color = 3
  Vertex 482 color = 4
  Vertex 483 color = 0
  Vertex 484 color = 1
  Vertex 485 color = 6
  Vertex 486 color = 1
  Vertex 487 color = 2
  Vertex 488 color = 10
  Vertex 489 color = 6
  Vertex 490 color = 1
  Vertex 491 color = 7
  Vertex 492 color = 4
  Vertex 493 color = 9
  Vertex 494 color = 6
  Vertex 495 color = 11
  Vertex 496 color = 8
  Vertex 497 color = 8
  Vertex 498 color = 0
  Vertex 499 color = 8
