Instance File:
  instances/cmb01

Time:
  8085.55263710022

Parameters:
  Cooling Factor r: 0.85
  Instances I: 200
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 2108

Initial Solution Value:
  2799284.13

Initial number of color conflicts:
  268

Final Solution Value:
  141856.49

Final number of color conflicts:
  4

Solution:
  Vertex 385 color = 9
  Vertex 386 color = 1
  Vertex 387 color = 1
  Vertex 388 color = 2
  Vertex 389 color = 1
  Vertex 390 color = 5
  Vertex 391 color = 9
  Vertex 392 color = 5
  Vertex 393 color = 8
  Vertex 394 color = 1
  Vertex 395 color = 8
  Vertex 396 color = 6
  Vertex 397 color = 3
  Vertex 398 color = 9
  Vertex 399 color = 11
  Vertex 400 color = 1
  Vertex 401 color = 0
  Vertex 402 color = 11
  Vertex 403 color = 8
  Vertex 404 color = 10
  Vertex 405 color = 9
  Vertex 406 color = 0
  Vertex 407 color = 11
  Vertex 408 color = 5
  Vertex 409 color = 1
  Vertex 410 color = 7
  Vertex 411 color = 10
  Vertex 412 color = 6
  Vertex 413 color = 6
  Vertex 414 color = 7
  Vertex 415 color = 5
  Vertex 416 color = 10
  Vertex 417 color = 0
  Vertex 418 color = 7
  Vertex 419 color = 2
  Vertex 420 color = 9
  Vertex 421 color = 5
  Vertex 422 color = 4
  Vertex 423 color = 6
  Vertex 424 color = 8
  Vertex 425 color = 1
  Vertex 426 color = 0
  Vertex 427 color = 0
  Vertex 428 color = 10
  Vertex 429 color = 5
  Vertex 430 color = 5
  Vertex 431 color = 1
  Vertex 432 color = 3
  Vertex 433 color = 4
  Vertex 434 color = 4
  Vertex 435 color = 1
  Vertex 436 color = 1
  Vertex 437 color = 9
  Vertex 438 color = 11
  Vertex 439 color = 2
  Vertex 440 color = 0
  Vertex 441 color = 11
  Vertex 442 color = 6
  Vertex 443 color = 9
  Vertex 444 color = 4
  Vertex 445 color = 4
  Vertex 446 color = 2
  Vertex 447 color = 2
  Vertex 448 color = 10
  Vertex 449 color = 2
  Vertex 450 color = 3
  Vertex 451 color = 6
  Vertex 452 color = 8
  Vertex 453 color = 6
  Vertex 454 color = 7
  Vertex 455 color = 4
  Vertex 456 color = 8
  Vertex 457 color = 5
  Vertex 458 color = 4
  Vertex 459 color = 7
  Vertex 460 color = 8
  Vertex 461 color = 4
  Vertex 462 color = 11
  Vertex 463 color = 10
  Vertex 464 color = 3
  Vertex 465 color = 10
  Vertex 466 color = 0
  Vertex 467 color = 1
  Vertex 468 color = 2
  Vertex 469 color = 6
  Vertex 470 color = 7
  Vertex 471 color = 7
  Vertex 472 color = 5
  Vertex 473 color = 11
  Vertex 474 color = 9
  Vertex 475 color = 0
  Vertex 476 color = 3
  Vertex 477 color = 0
  Vertex 478 color = 11
  Vertex 479 color = 9
  Vertex 480 color = 0
  Vertex 481 color = 6
  Vertex 482 color = 5
  Vertex 483 color = 5
  Vertex 484 color = 0
  Vertex 485 color = 2
