Instance File:
  instances/cmb01

Time:
  1585.2371318340302

Parameters:
  Cooling Factor r: 0.8
  Instances I: 100
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  283

Final Solution Value:
  956445.4299999999

Final number of color conflicts:
  84

Solution:
  Vertex 388 color = 1
  Vertex 389 color = 4
  Vertex 390 color = 11
  Vertex 391 color = 7
  Vertex 392 color = 5
  Vertex 393 color = 9
  Vertex 394 color = 11
  Vertex 395 color = 2
  Vertex 396 color = 8
  Vertex 397 color = 5
  Vertex 398 color = 8
  Vertex 399 color = 6
  Vertex 400 color = 4
  Vertex 401 color = 0
  Vertex 402 color = 9
  Vertex 403 color = 4
  Vertex 404 color = 10
  Vertex 405 color = 9
  Vertex 406 color = 3
  Vertex 407 color = 9
  Vertex 408 color = 11
  Vertex 409 color = 6
  Vertex 410 color = 7
  Vertex 411 color = 3
  Vertex 412 color = 11
  Vertex 413 color = 9
  Vertex 414 color = 8
  Vertex 415 color = 0
  Vertex 416 color = 3
  Vertex 417 color = 1
  Vertex 418 color = 9
  Vertex 419 color = 0
  Vertex 420 color = 7
  Vertex 421 color = 1
  Vertex 422 color = 2
  Vertex 423 color = 2
  Vertex 424 color = 4
  Vertex 425 color = 0
  Vertex 426 color = 6
  Vertex 427 color = 10
  Vertex 428 color = 1
  Vertex 429 color = 3
  Vertex 430 color = 11
  Vertex 431 color = 5
  Vertex 432 color = 1
  Vertex 433 color = 0
  Vertex 434 color = 5
  Vertex 435 color = 10
  Vertex 436 color = 1
  Vertex 437 color = 3
  Vertex 438 color = 5
  Vertex 439 color = 9
  Vertex 440 color = 7
  Vertex 441 color = 1
  Vertex 442 color = 5
  Vertex 443 color = 9
  Vertex 444 color = 10
  Vertex 445 color = 0
  Vertex 446 color = 4
  Vertex 447 color = 3
  Vertex 448 color = 5
  Vertex 449 color = 3
  Vertex 450 color = 6
  Vertex 451 color = 10
  Vertex 452 color = 11
  Vertex 453 color = 4
  Vertex 454 color = 8
  Vertex 455 color = 7
  Vertex 456 color = 10
  Vertex 457 color = 5
  Vertex 458 color = 1
  Vertex 459 color = 1
  Vertex 460 color = 3
  Vertex 461 color = 5
  Vertex 462 color = 1
  Vertex 463 color = 5
  Vertex 464 color = 6
  Vertex 465 color = 7
  Vertex 466 color = 7
  Vertex 467 color = 2
  Vertex 468 color = 7
  Vertex 469 color = 6
  Vertex 470 color = 9
  Vertex 471 color = 8
  Vertex 472 color = 3
  Vertex 473 color = 7
  Vertex 474 color = 9
  Vertex 475 color = 7
  Vertex 476 color = 4
  Vertex 477 color = 10
  Vertex 478 color = 9
  Vertex 479 color = 7
  Vertex 480 color = 2
  Vertex 481 color = 9
  Vertex 482 color = 9
  Vertex 483 color = 0
  Vertex 484 color = 9
  Vertex 485 color = 9
  Vertex 486 color = 4
  Vertex 487 color = 10
  Vertex 488 color = 5
  Vertex 489 color = 8
  Vertex 490 color = 1
  Vertex 491 color = 4
  Vertex 492 color = 10
  Vertex 493 color = 8
  Vertex 494 color = 7
  Vertex 495 color = 7
  Vertex 496 color = 2
  Vertex 497 color = 3
  Vertex 498 color = 1
  Vertex 499 color = 1
